a15m310 Wilson3 pz3 0.151fm zmax5
config z nu=p.z RpITD
0 1 1.17809725e+00 3.40524090e-02
1 1 1.17809725e+00 3.36072505e-02
2 1 1.17809725e+00 3.40433080e-02
3 1 1.17809725e+00 3.37505635e-02
4 1 1.17809725e+00 3.41511353e-02
5 1 1.17809725e+00 3.38787867e-02
6 1 1.17809725e+00 3.34373093e-02
7 1 1.17809725e+00 3.41130283e-02
8 1 1.17809725e+00 3.38786435e-02
9 1 1.17809725e+00 3.43984822e-02
10 1 1.17809725e+00 3.42078171e-02
11 1 1.17809725e+00 3.44276746e-02
12 1 1.17809725e+00 3.40830702e-02
13 1 1.17809725e+00 3.42345793e-02
14 1 1.17809725e+00 3.40542578e-02
15 1 1.17809725e+00 3.35605013e-02
16 1 1.17809725e+00 3.31847733e-02
17 1 1.17809725e+00 3.43436275e-02
18 1 1.17809725e+00 3.41329475e-02
19 1 1.17809725e+00 3.38007735e-02
20 1 1.17809725e+00 3.39399861e-02
21 1 1.17809725e+00 3.44190808e-02
22 1 1.17809725e+00 3.38729501e-02
23 1 1.17809725e+00 3.46867093e-02
24 1 1.17809725e+00 3.35819657e-02
25 1 1.17809725e+00 3.40447879e-02
26 1 1.17809725e+00 3.40003010e-02
27 1 1.17809725e+00 3.37713087e-02
28 1 1.17809725e+00 3.43184796e-02
29 1 1.17809725e+00 3.45113970e-02
30 1 1.17809725e+00 3.34276632e-02
31 1 1.17809725e+00 3.38674557e-02
32 1 1.17809725e+00 3.35251725e-02
33 1 1.17809725e+00 3.37586346e-02
34 1 1.17809725e+00 3.41380639e-02
35 1 1.17809725e+00 3.41729986e-02
36 1 1.17809725e+00 3.36551651e-02
37 1 1.17809725e+00 3.38059606e-02
38 1 1.17809725e+00 3.34534575e-02
39 1 1.17809725e+00 3.37207077e-02
40 1 1.17809725e+00 3.33951262e-02
41 1 1.17809725e+00 3.38751294e-02
42 1 1.17809725e+00 3.46551468e-02
43 1 1.17809725e+00 3.44346875e-02
44 1 1.17809725e+00 3.37683684e-02
45 1 1.17809725e+00 3.37078993e-02
46 1 1.17809725e+00 3.39866031e-02
47 1 1.17809725e+00 3.40065647e-02
48 1 1.17809725e+00 3.39960726e-02
49 1 1.17809725e+00 3.41402469e-02
50 1 1.17809725e+00 3.47461762e-02
51 1 1.17809725e+00 3.40685757e-02
52 1 1.17809725e+00 3.39698067e-02
53 1 1.17809725e+00 3.39394685e-02
54 1 1.17809725e+00 3.39389336e-02
55 1 1.17809725e+00 3.39565563e-02
56 1 1.17809725e+00 3.46950962e-02
57 1 1.17809725e+00 3.39192065e-02
58 1 1.17809725e+00 3.41601830e-02
59 1 1.17809725e+00 3.40353760e-02
60 1 1.17809725e+00 3.36100394e-02
61 1 1.17809725e+00 3.38793892e-02
62 1 1.17809725e+00 3.43516944e-02
63 1 1.17809725e+00 3.42500798e-02
64 1 1.17809725e+00 3.43853849e-02
65 1 1.17809725e+00 3.40323086e-02
66 1 1.17809725e+00 3.46593585e-02
67 1 1.17809725e+00 3.41691464e-02
68 1 1.17809725e+00 3.39689445e-02
69 1 1.17809725e+00 3.41350907e-02
70 1 1.17809725e+00 3.44157890e-02
71 1 1.17809725e+00 3.35747241e-02
72 1 1.17809725e+00 3.32034588e-02
73 1 1.17809725e+00 3.43560964e-02
74 1 1.17809725e+00 3.40657600e-02
75 1 1.17809725e+00 3.42692386e-02
76 1 1.17809725e+00 3.42803266e-02
77 1 1.17809725e+00 3.38631166e-02
78 1 1.17809725e+00 3.40666753e-02
79 1 1.17809725e+00 3.36600306e-02
80 1 1.17809725e+00 3.42160246e-02
81 1 1.17809725e+00 3.38627099e-02
82 1 1.17809725e+00 3.37810715e-02
83 1 1.17809725e+00 3.38778399e-02
84 1 1.17809725e+00 3.36813888e-02
85 1 1.17809725e+00 3.49359394e-02
86 1 1.17809725e+00 3.40514390e-02
87 1 1.17809725e+00 3.37369453e-02
88 1 1.17809725e+00 3.38547727e-02
89 1 1.17809725e+00 3.38672945e-02
90 1 1.17809725e+00 3.41974474e-02
91 1 1.17809725e+00 3.40749393e-02
92 1 1.17809725e+00 3.39644480e-02
93 1 1.17809725e+00 3.40740896e-02
94 1 1.17809725e+00 3.44564703e-02
95 1 1.17809725e+00 3.43396293e-02
96 1 1.17809725e+00 3.41621812e-02
97 1 1.17809725e+00 3.41661150e-02
98 1 1.17809725e+00 3.44049409e-02
99 1 1.17809725e+00 3.41288617e-02
100 1 1.17809725e+00 3.39483974e-02
101 1 1.17809725e+00 3.43819312e-02
102 1 1.17809725e+00 3.40057177e-02
103 1 1.17809725e+00 3.38994143e-02
104 1 1.17809725e+00 3.42758643e-02
105 1 1.17809725e+00 3.43085700e-02
106 1 1.17809725e+00 3.33029850e-02
107 1 1.17809725e+00 3.42709171e-02
108 1 1.17809725e+00 3.41715249e-02
109 1 1.17809725e+00 3.41618083e-02
110 1 1.17809725e+00 3.43295343e-02
111 1 1.17809725e+00 3.37497311e-02
112 1 1.17809725e+00 3.34315229e-02
113 1 1.17809725e+00 3.40025892e-02
114 1 1.17809725e+00 3.40631805e-02
115 1 1.17809725e+00 3.37117397e-02
116 1 1.17809725e+00 3.40666847e-02
117 1 1.17809725e+00 3.40518014e-02
118 1 1.17809725e+00 3.41103770e-02
119 1 1.17809725e+00 3.37864427e-02
120 1 1.17809725e+00 3.31088327e-02
121 1 1.17809725e+00 3.39122942e-02
122 1 1.17809725e+00 3.33356861e-02
123 1 1.17809725e+00 3.46067445e-02
124 1 1.17809725e+00 3.38056867e-02
125 1 1.17809725e+00 3.36210046e-02
126 1 1.17809725e+00 3.44700670e-02
127 1 1.17809725e+00 3.38996984e-02
128 1 1.17809725e+00 3.41972545e-02
129 1 1.17809725e+00 3.33625307e-02
130 1 1.17809725e+00 3.37651726e-02
131 1 1.17809725e+00 3.40107471e-02
132 1 1.17809725e+00 3.37436717e-02
133 1 1.17809725e+00 3.39340525e-02
134 1 1.17809725e+00 3.43741608e-02
135 1 1.17809725e+00 3.40021036e-02
136 1 1.17809725e+00 3.33739190e-02
137 1 1.17809725e+00 3.37193548e-02
138 1 1.17809725e+00 3.39551230e-02
139 1 1.17809725e+00 3.33477331e-02
140 1 1.17809725e+00 3.40578230e-02
141 1 1.17809725e+00 3.40079471e-02
142 1 1.17809725e+00 3.39700310e-02
143 1 1.17809725e+00 3.37186973e-02
144 1 1.17809725e+00 3.38710485e-02
145 1 1.17809725e+00 3.41975265e-02
146 1 1.17809725e+00 3.39825364e-02
147 1 1.17809725e+00 3.37761200e-02
148 1 1.17809725e+00 3.39930890e-02
149 1 1.17809725e+00 3.46503705e-02
150 1 1.17809725e+00 3.35514089e-02
151 1 1.17809725e+00 3.40068015e-02
152 1 1.17809725e+00 3.35474528e-02
153 1 1.17809725e+00 3.40409326e-02
154 1 1.17809725e+00 3.40695425e-02
155 1 1.17809725e+00 3.43784515e-02
156 1 1.17809725e+00 3.45450788e-02
157 1 1.17809725e+00 3.38618635e-02
158 1 1.17809725e+00 3.47313169e-02
159 1 1.17809725e+00 3.41006432e-02
160 1 1.17809725e+00 3.36765378e-02
161 1 1.17809725e+00 3.35087034e-02
162 1 1.17809725e+00 3.39008986e-02
163 1 1.17809725e+00 3.45556617e-02
164 1 1.17809725e+00 3.35867818e-02
165 1 1.17809725e+00 3.37434466e-02
166 1 1.17809725e+00 3.46345925e-02
167 1 1.17809725e+00 3.42904221e-02
168 1 1.17809725e+00 3.41991860e-02
169 1 1.17809725e+00 3.39938635e-02
170 1 1.17809725e+00 3.40988982e-02
171 1 1.17809725e+00 3.40497072e-02
172 1 1.17809725e+00 3.43086080e-02
173 1 1.17809725e+00 3.42495504e-02
174 1 1.17809725e+00 3.45763949e-02
175 1 1.17809725e+00 3.49582000e-02
176 1 1.17809725e+00 3.44444336e-02
177 1 1.17809725e+00 3.39037183e-02
178 1 1.17809725e+00 3.34674746e-02
179 1 1.17809725e+00 3.43243564e-02
180 1 1.17809725e+00 3.39189912e-02
181 1 1.17809725e+00 3.38880675e-02
182 1 1.17809725e+00 3.40875263e-02
183 1 1.17809725e+00 3.39876363e-02
184 1 1.17809725e+00 3.40799857e-02
185 1 1.17809725e+00 3.40059363e-02
186 1 1.17809725e+00 3.38213742e-02
187 1 1.17809725e+00 3.39988018e-02
188 1 1.17809725e+00 3.38658054e-02
189 1 1.17809725e+00 3.40773652e-02
190 1 1.17809725e+00 3.42109457e-02
191 1 1.17809725e+00 3.46377926e-02
192 1 1.17809725e+00 3.42493629e-02
193 1 1.17809725e+00 3.40127772e-02
194 1 1.17809725e+00 3.40309190e-02
195 1 1.17809725e+00 3.42937846e-02
196 1 1.17809725e+00 3.40801022e-02
197 1 1.17809725e+00 3.43380774e-02
198 1 1.17809725e+00 3.40154107e-02
199 1 1.17809725e+00 3.41427606e-02
200 1 1.17809725e+00 3.34472670e-02
201 1 1.17809725e+00 3.40503367e-02
202 1 1.17809725e+00 3.34462759e-02
203 1 1.17809725e+00 3.36661619e-02
204 1 1.17809725e+00 3.38101918e-02
205 1 1.17809725e+00 3.45258469e-02
206 1 1.17809725e+00 3.37441284e-02
207 1 1.17809725e+00 3.36265650e-02
208 1 1.17809725e+00 3.41759435e-02
209 1 1.17809725e+00 3.42377022e-02
210 1 1.17809725e+00 3.36502292e-02
211 1 1.17809725e+00 3.40316884e-02
212 1 1.17809725e+00 3.34382798e-02
213 1 1.17809725e+00 3.36218161e-02
214 1 1.17809725e+00 3.36782286e-02
215 1 1.17809725e+00 3.47459242e-02
216 1 1.17809725e+00 3.38186130e-02
217 1 1.17809725e+00 3.47566545e-02
218 1 1.17809725e+00 3.44594290e-02
219 1 1.17809725e+00 3.40744040e-02
220 1 1.17809725e+00 3.42268003e-02
221 1 1.17809725e+00 3.39875666e-02
222 1 1.17809725e+00 3.39524281e-02
223 1 1.17809725e+00 3.44025041e-02
224 1 1.17809725e+00 3.33281066e-02
225 1 1.17809725e+00 3.37859773e-02
226 1 1.17809725e+00 3.38578405e-02
227 1 1.17809725e+00 3.41098086e-02
228 1 1.17809725e+00 3.40975641e-02
229 1 1.17809725e+00 3.39810780e-02
230 1 1.17809725e+00 3.41616121e-02
231 1 1.17809725e+00 3.43498610e-02
232 1 1.17809725e+00 3.41240269e-02
233 1 1.17809725e+00 3.37357320e-02
234 1 1.17809725e+00 3.39659200e-02
235 1 1.17809725e+00 3.38769205e-02
236 1 1.17809725e+00 3.35684964e-02
237 1 1.17809725e+00 3.43135349e-02
238 1 1.17809725e+00 3.41442738e-02
239 1 1.17809725e+00 3.40066620e-02
240 1 1.17809725e+00 3.45114025e-02
241 1 1.17809725e+00 3.34477444e-02
242 1 1.17809725e+00 3.40243613e-02
243 1 1.17809725e+00 3.38305805e-02
244 1 1.17809725e+00 3.31634303e-02
245 1 1.17809725e+00 3.30898778e-02
246 1 1.17809725e+00 3.39510619e-02
247 1 1.17809725e+00 3.41616641e-02
248 1 1.17809725e+00 3.38673701e-02
249 1 1.17809725e+00 3.41740005e-02
250 1 1.17809725e+00 3.41929527e-02
251 1 1.17809725e+00 3.35597921e-02
252 1 1.17809725e+00 3.41842648e-02
253 1 1.17809725e+00 3.40265238e-02
254 1 1.17809725e+00 3.39735297e-02
255 1 1.17809725e+00 3.38574289e-02
256 1 1.17809725e+00 3.41751095e-02
257 1 1.17809725e+00 3.44194774e-02
258 1 1.17809725e+00 3.38627272e-02
259 1 1.17809725e+00 3.38416957e-02
260 1 1.17809725e+00 3.40607825e-02
261 1 1.17809725e+00 3.41137730e-02
262 1 1.17809725e+00 3.39619497e-02
263 1 1.17809725e+00 3.32056983e-02
264 1 1.17809725e+00 3.38903963e-02
265 1 1.17809725e+00 3.41333125e-02
266 1 1.17809725e+00 3.35268000e-02
267 1 1.17809725e+00 3.44497206e-02
268 1 1.17809725e+00 3.35779466e-02
269 1 1.17809725e+00 3.41008771e-02
270 1 1.17809725e+00 3.41552823e-02
271 1 1.17809725e+00 3.44195207e-02
272 1 1.17809725e+00 3.39176639e-02
273 1 1.17809725e+00 3.36380168e-02
274 1 1.17809725e+00 3.37854626e-02
275 1 1.17809725e+00 3.39912815e-02
276 1 1.17809725e+00 3.41959434e-02
277 1 1.17809725e+00 3.40082982e-02
278 1 1.17809725e+00 3.46538601e-02
279 1 1.17809725e+00 3.42050492e-02
280 1 1.17809725e+00 3.35545921e-02
281 1 1.17809725e+00 3.39082276e-02
282 1 1.17809725e+00 3.41870415e-02
283 1 1.17809725e+00 3.45708745e-02
284 1 1.17809725e+00 3.35989331e-02
285 1 1.17809725e+00 3.35821632e-02
286 1 1.17809725e+00 3.37051557e-02
287 1 1.17809725e+00 3.37225691e-02
288 1 1.17809725e+00 3.39568561e-02
289 1 1.17809725e+00 3.41522668e-02
290 1 1.17809725e+00 3.41847078e-02
291 1 1.17809725e+00 3.40234471e-02
292 1 1.17809725e+00 3.38858443e-02
293 1 1.17809725e+00 3.42610483e-02
294 1 1.17809725e+00 3.42781464e-02
295 1 1.17809725e+00 3.41339918e-02
296 1 1.17809725e+00 3.44983830e-02
297 1 1.17809725e+00 3.39374470e-02
298 1 1.17809725e+00 3.40039125e-02
299 1 1.17809725e+00 3.34649105e-02
300 1 1.17809725e+00 3.44190715e-02
301 1 1.17809725e+00 3.39608764e-02
302 1 1.17809725e+00 3.34716225e-02
303 1 1.17809725e+00 3.35409971e-02
304 1 1.17809725e+00 3.40461845e-02
305 1 1.17809725e+00 3.36962362e-02
306 1 1.17809725e+00 3.34461190e-02
307 1 1.17809725e+00 3.41661215e-02
308 1 1.17809725e+00 3.39752025e-02
309 1 1.17809725e+00 3.41861525e-02
310 1 1.17809725e+00 3.41836826e-02
311 1 1.17809725e+00 3.32577408e-02
312 1 1.17809725e+00 3.44803481e-02
313 1 1.17809725e+00 3.34320685e-02
314 1 1.17809725e+00 3.39692890e-02
315 1 1.17809725e+00 3.35328819e-02
316 1 1.17809725e+00 3.33895172e-02
317 1 1.17809725e+00 3.38001054e-02
318 1 1.17809725e+00 3.37899858e-02
319 1 1.17809725e+00 3.40177357e-02
320 1 1.17809725e+00 3.42346349e-02
321 1 1.17809725e+00 3.42340229e-02
322 1 1.17809725e+00 3.43703674e-02
323 1 1.17809725e+00 3.40306182e-02
324 1 1.17809725e+00 3.41049565e-02
325 1 1.17809725e+00 3.44144428e-02
326 1 1.17809725e+00 3.38028007e-02
327 1 1.17809725e+00 3.42247638e-02
328 1 1.17809725e+00 3.39160844e-02
329 1 1.17809725e+00 3.36757584e-02
330 1 1.17809725e+00 3.35753413e-02
331 1 1.17809725e+00 3.46491809e-02
332 1 1.17809725e+00 3.40898428e-02
333 1 1.17809725e+00 3.39023260e-02
334 1 1.17809725e+00 3.36903115e-02
335 1 1.17809725e+00 3.43866926e-02
336 1 1.17809725e+00 3.37122507e-02
337 1 1.17809725e+00 3.41437531e-02
338 1 1.17809725e+00 3.36508423e-02
339 1 1.17809725e+00 3.37409537e-02
340 1 1.17809725e+00 3.33061779e-02
341 1 1.17809725e+00 3.35927006e-02
342 1 1.17809725e+00 3.34467888e-02
343 1 1.17809725e+00 3.37803281e-02
344 1 1.17809725e+00 3.32444326e-02
345 1 1.17809725e+00 3.40341773e-02
346 1 1.17809725e+00 3.32572096e-02
347 1 1.17809725e+00 3.34675452e-02
348 1 1.17809725e+00 3.40397965e-02
349 1 1.17809725e+00 3.40506159e-02
350 1 1.17809725e+00 3.41690635e-02
351 1 1.17809725e+00 3.39877764e-02
352 1 1.17809725e+00 3.35174833e-02
353 1 1.17809725e+00 3.39035047e-02
354 1 1.17809725e+00 3.41749455e-02
355 1 1.17809725e+00 3.40782793e-02
356 1 1.17809725e+00 3.43557793e-02
357 1 1.17809725e+00 3.44725251e-02
358 1 1.17809725e+00 3.37284820e-02
359 1 1.17809725e+00 3.37135340e-02
360 1 1.17809725e+00 3.41510631e-02
361 1 1.17809725e+00 3.40404335e-02
362 1 1.17809725e+00 3.41236206e-02
363 1 1.17809725e+00 3.46908572e-02
364 1 1.17809725e+00 3.43310362e-02
365 1 1.17809725e+00 3.37589175e-02
366 1 1.17809725e+00 3.37838105e-02
367 1 1.17809725e+00 3.39943300e-02
368 1 1.17809725e+00 3.36689968e-02
369 1 1.17809725e+00 3.39230616e-02
370 1 1.17809725e+00 3.41019006e-02
371 1 1.17809725e+00 3.36264062e-02
372 1 1.17809725e+00 3.42228061e-02
373 1 1.17809725e+00 3.35518549e-02
374 1 1.17809725e+00 3.36266014e-02
375 1 1.17809725e+00 3.36004319e-02
376 1 1.17809725e+00 3.36423310e-02
377 1 1.17809725e+00 3.40001554e-02
