a15m310 Wilson3 pz1 0.151fm zmax7
config z nu=p.z RpITD
0 1 3.92699082e-01 1.55143002e-01
1 1 3.92699082e-01 1.53574462e-01
2 1 3.92699082e-01 1.54284669e-01
3 1 3.92699082e-01 1.53895145e-01
4 1 3.92699082e-01 1.53993965e-01
5 1 3.92699082e-01 1.54182250e-01
6 1 3.92699082e-01 1.53879939e-01
7 1 3.92699082e-01 1.53642510e-01
8 1 3.92699082e-01 1.53807977e-01
9 1 3.92699082e-01 1.53725178e-01
10 1 3.92699082e-01 1.53089327e-01
11 1 3.92699082e-01 1.53503151e-01
12 1 3.92699082e-01 1.54616546e-01
13 1 3.92699082e-01 1.55601938e-01
14 1 3.92699082e-01 1.54749772e-01
15 1 3.92699082e-01 1.54330491e-01
16 1 3.92699082e-01 1.52338247e-01
17 1 3.92699082e-01 1.53550635e-01
18 1 3.92699082e-01 1.54226054e-01
19 1 3.92699082e-01 1.53613835e-01
20 1 3.92699082e-01 1.53608828e-01
21 1 3.92699082e-01 1.53607320e-01
22 1 3.92699082e-01 1.54803656e-01
23 1 3.92699082e-01 1.56402918e-01
24 1 3.92699082e-01 1.53766657e-01
25 1 3.92699082e-01 1.53838094e-01
26 1 3.92699082e-01 1.53504044e-01
27 1 3.92699082e-01 1.53092938e-01
28 1 3.92699082e-01 1.54606601e-01
29 1 3.92699082e-01 1.53403291e-01
30 1 3.92699082e-01 1.53882813e-01
31 1 3.92699082e-01 1.53494623e-01
32 1 3.92699082e-01 1.52993819e-01
33 1 3.92699082e-01 1.53746165e-01
34 1 3.92699082e-01 1.55014172e-01
35 1 3.92699082e-01 1.54774611e-01
36 1 3.92699082e-01 1.53736134e-01
37 1 3.92699082e-01 1.53917215e-01
38 1 3.92699082e-01 1.53635145e-01
39 1 3.92699082e-01 1.52670212e-01
40 1 3.92699082e-01 1.52040151e-01
41 1 3.92699082e-01 1.53908483e-01
42 1 3.92699082e-01 1.53226593e-01
43 1 3.92699082e-01 1.53418099e-01
44 1 3.92699082e-01 1.53511930e-01
45 1 3.92699082e-01 1.53682233e-01
46 1 3.92699082e-01 1.53714069e-01
47 1 3.92699082e-01 1.54240613e-01
48 1 3.92699082e-01 1.53560128e-01
49 1 3.92699082e-01 1.54269550e-01
50 1 3.92699082e-01 1.53978496e-01
51 1 3.92699082e-01 1.54215976e-01
52 1 3.92699082e-01 1.53583620e-01
53 1 3.92699082e-01 1.53142925e-01
54 1 3.92699082e-01 1.53508894e-01
55 1 3.92699082e-01 1.54691766e-01
56 1 3.92699082e-01 1.54166972e-01
57 1 3.92699082e-01 1.53483877e-01
58 1 3.92699082e-01 1.54206904e-01
59 1 3.92699082e-01 1.54926393e-01
60 1 3.92699082e-01 1.53156934e-01
61 1 3.92699082e-01 1.53970976e-01
62 1 3.92699082e-01 1.53177578e-01
63 1 3.92699082e-01 1.53011515e-01
64 1 3.92699082e-01 1.53294167e-01
65 1 3.92699082e-01 1.54145409e-01
66 1 3.92699082e-01 1.55733842e-01
67 1 3.92699082e-01 1.52701585e-01
68 1 3.92699082e-01 1.53945577e-01
69 1 3.92699082e-01 1.54235902e-01
70 1 3.92699082e-01 1.53017528e-01
71 1 3.92699082e-01 1.52983264e-01
72 1 3.92699082e-01 1.52906085e-01
73 1 3.92699082e-01 1.55677717e-01
74 1 3.92699082e-01 1.55640289e-01
75 1 3.92699082e-01 1.54153212e-01
76 1 3.92699082e-01 1.53540118e-01
77 1 3.92699082e-01 1.52434752e-01
78 1 3.92699082e-01 1.53751283e-01
79 1 3.92699082e-01 1.53918037e-01
80 1 3.92699082e-01 1.53548787e-01
81 1 3.92699082e-01 1.53920744e-01
82 1 3.92699082e-01 1.52756407e-01
83 1 3.92699082e-01 1.54013279e-01
84 1 3.92699082e-01 1.53295519e-01
85 1 3.92699082e-01 1.55781856e-01
86 1 3.92699082e-01 1.53481478e-01
87 1 3.92699082e-01 1.53967540e-01
88 1 3.92699082e-01 1.54164552e-01
89 1 3.92699082e-01 1.53089755e-01
90 1 3.92699082e-01 1.54022172e-01
91 1 3.92699082e-01 1.53517647e-01
92 1 3.92699082e-01 1.53976823e-01
93 1 3.92699082e-01 1.54913736e-01
94 1 3.92699082e-01 1.54177801e-01
95 1 3.92699082e-01 1.54283021e-01
96 1 3.92699082e-01 1.54499921e-01
97 1 3.92699082e-01 1.55071274e-01
98 1 3.92699082e-01 1.53438458e-01
99 1 3.92699082e-01 1.54805264e-01
100 1 3.92699082e-01 1.54249320e-01
101 1 3.92699082e-01 1.53828697e-01
102 1 3.92699082e-01 1.54335205e-01
103 1 3.92699082e-01 1.54491749e-01
104 1 3.92699082e-01 1.53885255e-01
105 1 3.92699082e-01 1.53946942e-01
106 1 3.92699082e-01 1.53606207e-01
107 1 3.92699082e-01 1.53487226e-01
108 1 3.92699082e-01 1.53697870e-01
109 1 3.92699082e-01 1.53679435e-01
110 1 3.92699082e-01 1.52921173e-01
111 1 3.92699082e-01 1.52639693e-01
112 1 3.92699082e-01 1.53520796e-01
113 1 3.92699082e-01 1.53538051e-01
114 1 3.92699082e-01 1.53717808e-01
115 1 3.92699082e-01 1.52479011e-01
116 1 3.92699082e-01 1.53607737e-01
117 1 3.92699082e-01 1.54713541e-01
118 1 3.92699082e-01 1.53848187e-01
119 1 3.92699082e-01 1.53638952e-01
120 1 3.92699082e-01 1.51858360e-01
121 1 3.92699082e-01 1.54062819e-01
122 1 3.92699082e-01 1.52769071e-01
123 1 3.92699082e-01 1.54180979e-01
124 1 3.92699082e-01 1.53963833e-01
125 1 3.92699082e-01 1.53069648e-01
126 1 3.92699082e-01 1.54252290e-01
127 1 3.92699082e-01 1.53799123e-01
128 1 3.92699082e-01 1.54345154e-01
129 1 3.92699082e-01 1.51893318e-01
130 1 3.92699082e-01 1.53877397e-01
131 1 3.92699082e-01 1.54655854e-01
132 1 3.92699082e-01 1.52595642e-01
133 1 3.92699082e-01 1.53960057e-01
134 1 3.92699082e-01 1.54780741e-01
135 1 3.92699082e-01 1.53688135e-01
136 1 3.92699082e-01 1.53583752e-01
137 1 3.92699082e-01 1.54110047e-01
138 1 3.92699082e-01 1.54526664e-01
139 1 3.92699082e-01 1.54361902e-01
140 1 3.92699082e-01 1.54379839e-01
141 1 3.92699082e-01 1.53058134e-01
142 1 3.92699082e-01 1.52567247e-01
143 1 3.92699082e-01 1.53528941e-01
144 1 3.92699082e-01 1.54311654e-01
145 1 3.92699082e-01 1.54799492e-01
146 1 3.92699082e-01 1.53732903e-01
147 1 3.92699082e-01 1.53651735e-01
148 1 3.92699082e-01 1.53885346e-01
149 1 3.92699082e-01 1.53896925e-01
150 1 3.92699082e-01 1.53507335e-01
151 1 3.92699082e-01 1.52458261e-01
152 1 3.92699082e-01 1.52525327e-01
153 1 3.92699082e-01 1.53475325e-01
154 1 3.92699082e-01 1.54867007e-01
155 1 3.92699082e-01 1.54236479e-01
156 1 3.92699082e-01 1.54463528e-01
157 1 3.92699082e-01 1.52349463e-01
158 1 3.92699082e-01 1.54392375e-01
159 1 3.92699082e-01 1.52823893e-01
160 1 3.92699082e-01 1.53674739e-01
161 1 3.92699082e-01 1.53380608e-01
162 1 3.92699082e-01 1.52852710e-01
163 1 3.92699082e-01 1.54835677e-01
164 1 3.92699082e-01 1.53788164e-01
165 1 3.92699082e-01 1.53708000e-01
166 1 3.92699082e-01 1.54858180e-01
167 1 3.92699082e-01 1.54579177e-01
168 1 3.92699082e-01 1.53520891e-01
169 1 3.92699082e-01 1.54476364e-01
170 1 3.92699082e-01 1.54128001e-01
171 1 3.92699082e-01 1.53384181e-01
172 1 3.92699082e-01 1.54085477e-01
173 1 3.92699082e-01 1.53385967e-01
174 1 3.92699082e-01 1.54274894e-01
175 1 3.92699082e-01 1.54997329e-01
176 1 3.92699082e-01 1.54048073e-01
177 1 3.92699082e-01 1.53619572e-01
178 1 3.92699082e-01 1.53478506e-01
179 1 3.92699082e-01 1.54136430e-01
180 1 3.92699082e-01 1.53580539e-01
181 1 3.92699082e-01 1.54243946e-01
182 1 3.92699082e-01 1.53155341e-01
183 1 3.92699082e-01 1.54504791e-01
184 1 3.92699082e-01 1.53201417e-01
185 1 3.92699082e-01 1.52127054e-01
186 1 3.92699082e-01 1.53823707e-01
187 1 3.92699082e-01 1.55402481e-01
188 1 3.92699082e-01 1.53292603e-01
189 1 3.92699082e-01 1.54620162e-01
190 1 3.92699082e-01 1.53678636e-01
191 1 3.92699082e-01 1.54098948e-01
192 1 3.92699082e-01 1.54044697e-01
193 1 3.92699082e-01 1.54070764e-01
194 1 3.92699082e-01 1.53146962e-01
195 1 3.92699082e-01 1.53605584e-01
196 1 3.92699082e-01 1.53658509e-01
197 1 3.92699082e-01 1.53716854e-01
198 1 3.92699082e-01 1.52726504e-01
199 1 3.92699082e-01 1.53510607e-01
200 1 3.92699082e-01 1.54316630e-01
201 1 3.92699082e-01 1.52919023e-01
202 1 3.92699082e-01 1.52821473e-01
203 1 3.92699082e-01 1.53579876e-01
204 1 3.92699082e-01 1.53304947e-01
205 1 3.92699082e-01 1.54017363e-01
206 1 3.92699082e-01 1.53716202e-01
207 1 3.92699082e-01 1.53802706e-01
208 1 3.92699082e-01 1.53863199e-01
209 1 3.92699082e-01 1.54558987e-01
210 1 3.92699082e-01 1.53014724e-01
211 1 3.92699082e-01 1.53148543e-01
212 1 3.92699082e-01 1.52728141e-01
213 1 3.92699082e-01 1.53005625e-01
214 1 3.92699082e-01 1.53714451e-01
215 1 3.92699082e-01 1.53778275e-01
216 1 3.92699082e-01 1.54941974e-01
217 1 3.92699082e-01 1.55803317e-01
218 1 3.92699082e-01 1.54050328e-01
219 1 3.92699082e-01 1.54557128e-01
220 1 3.92699082e-01 1.53636049e-01
221 1 3.92699082e-01 1.54842020e-01
222 1 3.92699082e-01 1.52656217e-01
223 1 3.92699082e-01 1.54747684e-01
224 1 3.92699082e-01 1.53672838e-01
225 1 3.92699082e-01 1.53252651e-01
226 1 3.92699082e-01 1.53532159e-01
227 1 3.92699082e-01 1.53907671e-01
228 1 3.92699082e-01 1.54159968e-01
229 1 3.92699082e-01 1.53753142e-01
230 1 3.92699082e-01 1.53451424e-01
231 1 3.92699082e-01 1.53609125e-01
232 1 3.92699082e-01 1.54220800e-01
233 1 3.92699082e-01 1.52916746e-01
234 1 3.92699082e-01 1.54578322e-01
235 1 3.92699082e-01 1.54011603e-01
236 1 3.92699082e-01 1.53950243e-01
237 1 3.92699082e-01 1.55738797e-01
238 1 3.92699082e-01 1.53601659e-01
239 1 3.92699082e-01 1.54528181e-01
240 1 3.92699082e-01 1.54467834e-01
