a15m310 Wilson3 pz4 0.151fm zmax5
config z nu=p.z RpITD
0 1 1.57079633e+00 1.38444412e-02
1 1 1.57079633e+00 1.40724466e-02
2 1 1.57079633e+00 1.44397220e-02
3 1 1.57079633e+00 1.39019350e-02
4 1 1.57079633e+00 1.46240538e-02
5 1 1.57079633e+00 1.42831905e-02
6 1 1.57079633e+00 1.37121769e-02
7 1 1.57079633e+00 1.44218303e-02
8 1 1.57079633e+00 1.38020327e-02
9 1 1.57079633e+00 1.45350683e-02
10 1 1.57079633e+00 1.45683491e-02
11 1 1.57079633e+00 1.43563142e-02
12 1 1.57079633e+00 1.43292588e-02
13 1 1.57079633e+00 1.44915496e-02
14 1 1.57079633e+00 1.40399143e-02
15 1 1.57079633e+00 1.40506321e-02
16 1 1.57079633e+00 1.38465035e-02
17 1 1.57079633e+00 1.46717887e-02
18 1 1.57079633e+00 1.43189886e-02
19 1 1.57079633e+00 1.43460116e-02
20 1 1.57079633e+00 1.41358634e-02
21 1 1.57079633e+00 1.43554821e-02
22 1 1.57079633e+00 1.38726204e-02
23 1 1.57079633e+00 1.48520523e-02
24 1 1.57079633e+00 1.38950892e-02
25 1 1.57079633e+00 1.41500691e-02
26 1 1.57079633e+00 1.40644723e-02
27 1 1.57079633e+00 1.39179147e-02
28 1 1.57079633e+00 1.45298437e-02
29 1 1.57079633e+00 1.46814957e-02
30 1 1.57079633e+00 1.38286306e-02
31 1 1.57079633e+00 1.41209419e-02
32 1 1.57079633e+00 1.38623433e-02
33 1 1.57079633e+00 1.40736421e-02
34 1 1.57079633e+00 1.42232495e-02
35 1 1.57079633e+00 1.44181477e-02
36 1 1.57079633e+00 1.38451308e-02
37 1 1.57079633e+00 1.42039039e-02
38 1 1.57079633e+00 1.39234557e-02
39 1 1.57079633e+00 1.41376718e-02
40 1 1.57079633e+00 1.40468093e-02
41 1 1.57079633e+00 1.41709370e-02
42 1 1.57079633e+00 1.46846853e-02
43 1 1.57079633e+00 1.44260773e-02
44 1 1.57079633e+00 1.41686377e-02
45 1 1.57079633e+00 1.39799223e-02
46 1 1.57079633e+00 1.44743678e-02
47 1 1.57079633e+00 1.41424052e-02
48 1 1.57079633e+00 1.39551093e-02
49 1 1.57079633e+00 1.42005550e-02
50 1 1.57079633e+00 1.48838422e-02
51 1 1.57079633e+00 1.41262847e-02
52 1 1.57079633e+00 1.43127420e-02
53 1 1.57079633e+00 1.44865332e-02
54 1 1.57079633e+00 1.41967844e-02
55 1 1.57079633e+00 1.40801660e-02
56 1 1.57079633e+00 1.45637261e-02
57 1 1.57079633e+00 1.40705518e-02
58 1 1.57079633e+00 1.42091376e-02
59 1 1.57079633e+00 1.42707285e-02
60 1 1.57079633e+00 1.40804436e-02
61 1 1.57079633e+00 1.42362128e-02
62 1 1.57079633e+00 1.44439260e-02
63 1 1.57079633e+00 1.46743837e-02
64 1 1.57079633e+00 1.45098267e-02
65 1 1.57079633e+00 1.43679714e-02
66 1 1.57079633e+00 1.45510692e-02
67 1 1.57079633e+00 1.45411320e-02
68 1 1.57079633e+00 1.41379120e-02
69 1 1.57079633e+00 1.42129310e-02
70 1 1.57079633e+00 1.48389292e-02
71 1 1.57079633e+00 1.38584667e-02
72 1 1.57079633e+00 1.36740427e-02
73 1 1.57079633e+00 1.43961487e-02
74 1 1.57079633e+00 1.43337207e-02
75 1 1.57079633e+00 1.42260253e-02
76 1 1.57079633e+00 1.47091650e-02
77 1 1.57079633e+00 1.41937479e-02
78 1 1.57079633e+00 1.41083046e-02
79 1 1.57079633e+00 1.39551246e-02
80 1 1.57079633e+00 1.45100211e-02
81 1 1.57079633e+00 1.44323055e-02
82 1 1.57079633e+00 1.41189689e-02
83 1 1.57079633e+00 1.41347227e-02
84 1 1.57079633e+00 1.40456620e-02
85 1 1.57079633e+00 1.47860834e-02
86 1 1.57079633e+00 1.43666335e-02
87 1 1.57079633e+00 1.42850249e-02
88 1 1.57079633e+00 1.44793188e-02
89 1 1.57079633e+00 1.42031550e-02
90 1 1.57079633e+00 1.43914589e-02
91 1 1.57079633e+00 1.43130985e-02
92 1 1.57079633e+00 1.41446698e-02
93 1 1.57079633e+00 1.45104144e-02
94 1 1.57079633e+00 1.46464714e-02
95 1 1.57079633e+00 1.44992990e-02
96 1 1.57079633e+00 1.43755083e-02
97 1 1.57079633e+00 1.42966101e-02
98 1 1.57079633e+00 1.44547415e-02
99 1 1.57079633e+00 1.44136376e-02
100 1 1.57079633e+00 1.41212025e-02
101 1 1.57079633e+00 1.46441186e-02
102 1 1.57079633e+00 1.39950331e-02
103 1 1.57079633e+00 1.37850183e-02
104 1 1.57079633e+00 1.45230852e-02
105 1 1.57079633e+00 1.44861100e-02
106 1 1.57079633e+00 1.34561016e-02
107 1 1.57079633e+00 1.44584554e-02
108 1 1.57079633e+00 1.44971709e-02
109 1 1.57079633e+00 1.44421795e-02
110 1 1.57079633e+00 1.43139479e-02
111 1 1.57079633e+00 1.39911374e-02
112 1 1.57079633e+00 1.36326158e-02
113 1 1.57079633e+00 1.42659214e-02
114 1 1.57079633e+00 1.40734227e-02
115 1 1.57079633e+00 1.43027410e-02
116 1 1.57079633e+00 1.42059638e-02
117 1 1.57079633e+00 1.42354010e-02
118 1 1.57079633e+00 1.45549404e-02
119 1 1.57079633e+00 1.40048120e-02
120 1 1.57079633e+00 1.36135541e-02
121 1 1.57079633e+00 1.41000197e-02
122 1 1.57079633e+00 1.39721668e-02
123 1 1.57079633e+00 1.46247831e-02
124 1 1.57079633e+00 1.43641156e-02
125 1 1.57079633e+00 1.40179857e-02
126 1 1.57079633e+00 1.46327153e-02
127 1 1.57079633e+00 1.39911043e-02
128 1 1.57079633e+00 1.44397125e-02
129 1 1.57079633e+00 1.39142939e-02
130 1 1.57079633e+00 1.41720560e-02
131 1 1.57079633e+00 1.39314278e-02
132 1 1.57079633e+00 1.39214177e-02
133 1 1.57079633e+00 1.38769296e-02
134 1 1.57079633e+00 1.44263843e-02
135 1 1.57079633e+00 1.40984478e-02
136 1 1.57079633e+00 1.39505713e-02
137 1 1.57079633e+00 1.41783450e-02
138 1 1.57079633e+00 1.44763688e-02
139 1 1.57079633e+00 1.37210766e-02
140 1 1.57079633e+00 1.43915132e-02
141 1 1.57079633e+00 1.43795330e-02
142 1 1.57079633e+00 1.46205062e-02
143 1 1.57079633e+00 1.41262235e-02
144 1 1.57079633e+00 1.42158082e-02
145 1 1.57079633e+00 1.42039991e-02
146 1 1.57079633e+00 1.45702929e-02
147 1 1.57079633e+00 1.40239078e-02
148 1 1.57079633e+00 1.43650497e-02
149 1 1.57079633e+00 1.44363980e-02
150 1 1.57079633e+00 1.40184130e-02
151 1 1.57079633e+00 1.42907139e-02
152 1 1.57079633e+00 1.39181257e-02
153 1 1.57079633e+00 1.40174884e-02
154 1 1.57079633e+00 1.42702004e-02
155 1 1.57079633e+00 1.42592403e-02
156 1 1.57079633e+00 1.47209703e-02
157 1 1.57079633e+00 1.42754580e-02
158 1 1.57079633e+00 1.48098728e-02
159 1 1.57079633e+00 1.43722214e-02
160 1 1.57079633e+00 1.42135092e-02
161 1 1.57079633e+00 1.42032237e-02
162 1 1.57079633e+00 1.43617605e-02
163 1 1.57079633e+00 1.47537935e-02
164 1 1.57079633e+00 1.36910698e-02
165 1 1.57079633e+00 1.38830372e-02
166 1 1.57079633e+00 1.45832979e-02
167 1 1.57079633e+00 1.43882104e-02
168 1 1.57079633e+00 1.42975648e-02
169 1 1.57079633e+00 1.43014528e-02
170 1 1.57079633e+00 1.42755050e-02
171 1 1.57079633e+00 1.42501352e-02
172 1 1.57079633e+00 1.44617325e-02
173 1 1.57079633e+00 1.46784642e-02
174 1 1.57079633e+00 1.47102551e-02
175 1 1.57079633e+00 1.48168140e-02
176 1 1.57079633e+00 1.47849433e-02
177 1 1.57079633e+00 1.43533434e-02
178 1 1.57079633e+00 1.37925056e-02
179 1 1.57079633e+00 1.44140483e-02
180 1 1.57079633e+00 1.41685450e-02
181 1 1.57079633e+00 1.42085638e-02
182 1 1.57079633e+00 1.43169852e-02
183 1 1.57079633e+00 1.43118475e-02
184 1 1.57079633e+00 1.44051960e-02
185 1 1.57079633e+00 1.41799058e-02
186 1 1.57079633e+00 1.40497891e-02
187 1 1.57079633e+00 1.40192093e-02
188 1 1.57079633e+00 1.40622927e-02
189 1 1.57079633e+00 1.41611005e-02
190 1 1.57079633e+00 1.43059188e-02
191 1 1.57079633e+00 1.46870994e-02
192 1 1.57079633e+00 1.44447782e-02
193 1 1.57079633e+00 1.42473437e-02
194 1 1.57079633e+00 1.44069258e-02
195 1 1.57079633e+00 1.45359537e-02
196 1 1.57079633e+00 1.42845077e-02
197 1 1.57079633e+00 1.44896992e-02
198 1 1.57079633e+00 1.44091362e-02
199 1 1.57079633e+00 1.45380235e-02
200 1 1.57079633e+00 1.38932095e-02
201 1 1.57079633e+00 1.39492095e-02
202 1 1.57079633e+00 1.39653284e-02
203 1 1.57079633e+00 1.37370951e-02
204 1 1.57079633e+00 1.41244111e-02
205 1 1.57079633e+00 1.47991589e-02
206 1 1.57079633e+00 1.38520182e-02
207 1 1.57079633e+00 1.40680407e-02
208 1 1.57079633e+00 1.44874277e-02
209 1 1.57079633e+00 1.43370492e-02
210 1 1.57079633e+00 1.38606422e-02
211 1 1.57079633e+00 1.43092469e-02
212 1 1.57079633e+00 1.40812873e-02
213 1 1.57079633e+00 1.40083787e-02
214 1 1.57079633e+00 1.42578246e-02
215 1 1.57079633e+00 1.48818405e-02
216 1 1.57079633e+00 1.41748856e-02
217 1 1.57079633e+00 1.46226089e-02
218 1 1.57079633e+00 1.48864742e-02
219 1 1.57079633e+00 1.42883553e-02
220 1 1.57079633e+00 1.44907067e-02
221 1 1.57079633e+00 1.44233989e-02
222 1 1.57079633e+00 1.43267694e-02
223 1 1.57079633e+00 1.49461227e-02
224 1 1.57079633e+00 1.35236402e-02
225 1 1.57079633e+00 1.40916207e-02
226 1 1.57079633e+00 1.42491218e-02
227 1 1.57079633e+00 1.41619665e-02
228 1 1.57079633e+00 1.42772735e-02
229 1 1.57079633e+00 1.43964505e-02
230 1 1.57079633e+00 1.42830026e-02
231 1 1.57079633e+00 1.46045519e-02
232 1 1.57079633e+00 1.41549172e-02
233 1 1.57079633e+00 1.39651101e-02
234 1 1.57079633e+00 1.42300253e-02
235 1 1.57079633e+00 1.39782281e-02
236 1 1.57079633e+00 1.40148502e-02
237 1 1.57079633e+00 1.43804577e-02
238 1 1.57079633e+00 1.42593435e-02
239 1 1.57079633e+00 1.42598497e-02
240 1 1.57079633e+00 1.45199857e-02
241 1 1.57079633e+00 1.37796483e-02
242 1 1.57079633e+00 1.42691717e-02
243 1 1.57079633e+00 1.41625741e-02
244 1 1.57079633e+00 1.35731018e-02
245 1 1.57079633e+00 1.35978458e-02
246 1 1.57079633e+00 1.40755191e-02
247 1 1.57079633e+00 1.44296329e-02
248 1 1.57079633e+00 1.40545320e-02
249 1 1.57079633e+00 1.43438997e-02
250 1 1.57079633e+00 1.43306478e-02
251 1 1.57079633e+00 1.40496788e-02
252 1 1.57079633e+00 1.45356506e-02
253 1 1.57079633e+00 1.41721061e-02
254 1 1.57079633e+00 1.44153928e-02
255 1 1.57079633e+00 1.42490884e-02
256 1 1.57079633e+00 1.45513107e-02
257 1 1.57079633e+00 1.43683231e-02
258 1 1.57079633e+00 1.42626078e-02
259 1 1.57079633e+00 1.42441693e-02
260 1 1.57079633e+00 1.45111720e-02
261 1 1.57079633e+00 1.41736249e-02
262 1 1.57079633e+00 1.42473756e-02
263 1 1.57079633e+00 1.36235436e-02
264 1 1.57079633e+00 1.41909428e-02
265 1 1.57079633e+00 1.44295963e-02
266 1 1.57079633e+00 1.37610183e-02
267 1 1.57079633e+00 1.46937596e-02
268 1 1.57079633e+00 1.40393502e-02
269 1 1.57079633e+00 1.41681638e-02
270 1 1.57079633e+00 1.42341227e-02
271 1 1.57079633e+00 1.41833469e-02
272 1 1.57079633e+00 1.40134528e-02
273 1 1.57079633e+00 1.38438922e-02
274 1 1.57079633e+00 1.40593045e-02
275 1 1.57079633e+00 1.44759612e-02
276 1 1.57079633e+00 1.45372217e-02
277 1 1.57079633e+00 1.42509701e-02
278 1 1.57079633e+00 1.50153406e-02
279 1 1.57079633e+00 1.44127895e-02
280 1 1.57079633e+00 1.39994238e-02
281 1 1.57079633e+00 1.40638810e-02
282 1 1.57079633e+00 1.44070617e-02
283 1 1.57079633e+00 1.49338607e-02
284 1 1.57079633e+00 1.37594203e-02
285 1 1.57079633e+00 1.41192266e-02
286 1 1.57079633e+00 1.41968963e-02
287 1 1.57079633e+00 1.39892535e-02
288 1 1.57079633e+00 1.41806878e-02
289 1 1.57079633e+00 1.42291850e-02
290 1 1.57079633e+00 1.43354765e-02
291 1 1.57079633e+00 1.43338046e-02
292 1 1.57079633e+00 1.41799525e-02
293 1 1.57079633e+00 1.44417364e-02
294 1 1.57079633e+00 1.45856835e-02
295 1 1.57079633e+00 1.44507151e-02
296 1 1.57079633e+00 1.46616266e-02
297 1 1.57079633e+00 1.40314668e-02
298 1 1.57079633e+00 1.43953467e-02
299 1 1.57079633e+00 1.39654624e-02
300 1 1.57079633e+00 1.47162994e-02
301 1 1.57079633e+00 1.40140600e-02
302 1 1.57079633e+00 1.40343792e-02
303 1 1.57079633e+00 1.39121963e-02
304 1 1.57079633e+00 1.41097833e-02
305 1 1.57079633e+00 1.39403462e-02
306 1 1.57079633e+00 1.39947972e-02
307 1 1.57079633e+00 1.42754985e-02
308 1 1.57079633e+00 1.42088552e-02
309 1 1.57079633e+00 1.43056699e-02
310 1 1.57079633e+00 1.44354666e-02
311 1 1.57079633e+00 1.35108218e-02
312 1 1.57079633e+00 1.45476735e-02
313 1 1.57079633e+00 1.35972462e-02
314 1 1.57079633e+00 1.44774217e-02
315 1 1.57079633e+00 1.40756318e-02
316 1 1.57079633e+00 1.39566815e-02
317 1 1.57079633e+00 1.43914561e-02
318 1 1.57079633e+00 1.40840022e-02
319 1 1.57079633e+00 1.41578751e-02
320 1 1.57079633e+00 1.46066193e-02
321 1 1.57079633e+00 1.42809108e-02
322 1 1.57079633e+00 1.42876333e-02
323 1 1.57079633e+00 1.42682681e-02
324 1 1.57079633e+00 1.41989003e-02
325 1 1.57079633e+00 1.46911763e-02
326 1 1.57079633e+00 1.41786498e-02
327 1 1.57079633e+00 1.44055224e-02
328 1 1.57079633e+00 1.43288481e-02
329 1 1.57079633e+00 1.39890122e-02
330 1 1.57079633e+00 1.41041534e-02
331 1 1.57079633e+00 1.47652923e-02
332 1 1.57079633e+00 1.45475141e-02
333 1 1.57079633e+00 1.43939313e-02
334 1 1.57079633e+00 1.42797858e-02
335 1 1.57079633e+00 1.43092909e-02
336 1 1.57079633e+00 1.42068280e-02
337 1 1.57079633e+00 1.43940009e-02
338 1 1.57079633e+00 1.39220518e-02
339 1 1.57079633e+00 1.42898893e-02
340 1 1.57079633e+00 1.38748669e-02
341 1 1.57079633e+00 1.38367333e-02
342 1 1.57079633e+00 1.37817386e-02
343 1 1.57079633e+00 1.41291897e-02
344 1 1.57079633e+00 1.34757017e-02
345 1 1.57079633e+00 1.42467692e-02
346 1 1.57079633e+00 1.36662892e-02
347 1 1.57079633e+00 1.37757483e-02
348 1 1.57079633e+00 1.42431814e-02
349 1 1.57079633e+00 1.42678524e-02
350 1 1.57079633e+00 1.44895166e-02
351 1 1.57079633e+00 1.45080353e-02
352 1 1.57079633e+00 1.40236488e-02
353 1 1.57079633e+00 1.41829985e-02
354 1 1.57079633e+00 1.43118824e-02
355 1 1.57079633e+00 1.43357869e-02
356 1 1.57079633e+00 1.45049953e-02
357 1 1.57079633e+00 1.46661435e-02
358 1 1.57079633e+00 1.40282638e-02
359 1 1.57079633e+00 1.39852015e-02
360 1 1.57079633e+00 1.45132245e-02
361 1 1.57079633e+00 1.42708086e-02
362 1 1.57079633e+00 1.41488490e-02
363 1 1.57079633e+00 1.48861971e-02
364 1 1.57079633e+00 1.44720639e-02
365 1 1.57079633e+00 1.42193115e-02
366 1 1.57079633e+00 1.40628211e-02
367 1 1.57079633e+00 1.41928505e-02
368 1 1.57079633e+00 1.41518350e-02
369 1 1.57079633e+00 1.42860740e-02
370 1 1.57079633e+00 1.43353000e-02
371 1 1.57079633e+00 1.39571045e-02
372 1 1.57079633e+00 1.45935142e-02
373 1 1.57079633e+00 1.43099873e-02
374 1 1.57079633e+00 1.40961907e-02
375 1 1.57079633e+00 1.38542290e-02
376 1 1.57079633e+00 1.42636942e-02
377 1 1.57079633e+00 1.42678744e-02
378 1 1.57079633e+00 1.45311482e-02
379 1 1.57079633e+00 1.41439176e-02
380 1 1.57079633e+00 1.43391748e-02
381 1 1.57079633e+00 1.40816965e-02
382 1 1.57079633e+00 1.39447693e-02
383 1 1.57079633e+00 1.38709306e-02
384 1 1.57079633e+00 1.46389108e-02
385 1 1.57079633e+00 1.42308756e-02
386 1 1.57079633e+00 1.38782401e-02
387 1 1.57079633e+00 1.41690159e-02
388 1 1.57079633e+00 1.44532606e-02
389 1 1.57079633e+00 1.42454142e-02
390 1 1.57079633e+00 1.47169349e-02
391 1 1.57079633e+00 1.44008317e-02
392 1 1.57079633e+00 1.39095928e-02
393 1 1.57079633e+00 1.42321452e-02
394 1 1.57079633e+00 1.44419287e-02
395 1 1.57079633e+00 1.46949664e-02
396 1 1.57079633e+00 1.37293153e-02
397 1 1.57079633e+00 1.41608901e-02
398 1 1.57079633e+00 1.40772923e-02
399 1 1.57079633e+00 1.45862697e-02
400 1 1.57079633e+00 1.40186058e-02
401 1 1.57079633e+00 1.38826053e-02
402 1 1.57079633e+00 1.42071209e-02
403 1 1.57079633e+00 1.46922750e-02
404 1 1.57079633e+00 1.37159251e-02
405 1 1.57079633e+00 1.36729214e-02
406 1 1.57079633e+00 1.42631229e-02
407 1 1.57079633e+00 1.45286555e-02
408 1 1.57079633e+00 1.42958895e-02
409 1 1.57079633e+00 1.38669295e-02
410 1 1.57079633e+00 1.43107536e-02
411 1 1.57079633e+00 1.42589723e-02
412 1 1.57079633e+00 1.40179834e-02
413 1 1.57079633e+00 1.40484215e-02
414 1 1.57079633e+00 1.42165336e-02
415 1 1.57079633e+00 1.44035979e-02
416 1 1.57079633e+00 1.42447203e-02
417 1 1.57079633e+00 1.37047945e-02
418 1 1.57079633e+00 1.38201445e-02
419 1 1.57079633e+00 1.42851551e-02
420 1 1.57079633e+00 1.44272924e-02
421 1 1.57079633e+00 1.43877172e-02
422 1 1.57079633e+00 1.44458012e-02
423 1 1.57079633e+00 1.41669970e-02
424 1 1.57079633e+00 1.42835129e-02
425 1 1.57079633e+00 1.41459906e-02
426 1 1.57079633e+00 1.39598157e-02
427 1 1.57079633e+00 1.42642520e-02
428 1 1.57079633e+00 1.38011218e-02
429 1 1.57079633e+00 1.48432167e-02
430 1 1.57079633e+00 1.46567981e-02
431 1 1.57079633e+00 1.38724373e-02
432 1 1.57079633e+00 1.43656137e-02
433 1 1.57079633e+00 1.36544223e-02
434 1 1.57079633e+00 1.40487136e-02
435 1 1.57079633e+00 1.43390816e-02
436 1 1.57079633e+00 1.44751835e-02
437 1 1.57079633e+00 1.41349296e-02
438 1 1.57079633e+00 1.45707037e-02
439 1 1.57079633e+00 1.41669256e-02
440 1 1.57079633e+00 1.40479977e-02
441 1 1.57079633e+00 1.44325576e-02
442 1 1.57079633e+00 1.38959375e-02
443 1 1.57079633e+00 1.41878424e-02
444 1 1.57079633e+00 1.40628570e-02
445 1 1.57079633e+00 1.46541753e-02
446 1 1.57079633e+00 1.42941810e-02
447 1 1.57079633e+00 1.39527937e-02
