a15m310 Wilson3 pz2 0.151fm zmax6
config z nu=p.z RpITD
0 1 7.85398163e-01 6.71880226e-02
1 1 7.85398163e-01 6.66357416e-02
2 1 7.85398163e-01 6.68301746e-02
3 1 7.85398163e-01 6.67630284e-02
4 1 7.85398163e-01 6.68493881e-02
5 1 7.85398163e-01 6.68551642e-02
6 1 7.85398163e-01 6.66702742e-02
7 1 7.85398163e-01 6.68665875e-02
8 1 7.85398163e-01 6.68077958e-02
9 1 7.85398163e-01 6.69956778e-02
10 1 7.85398163e-01 6.66503383e-02
11 1 7.85398163e-01 6.69884693e-02
12 1 7.85398163e-01 6.69327101e-02
13 1 7.85398163e-01 6.71269449e-02
14 1 7.85398163e-01 6.71833999e-02
15 1 7.85398163e-01 6.65594617e-02
16 1 7.85398163e-01 6.55755347e-02
17 1 7.85398163e-01 6.66632774e-02
18 1 7.85398163e-01 6.70115850e-02
19 1 7.85398163e-01 6.66177477e-02
20 1 7.85398163e-01 6.63814376e-02
21 1 7.85398163e-01 6.67095082e-02
22 1 7.85398163e-01 6.70018829e-02
23 1 7.85398163e-01 6.78727845e-02
24 1 7.85398163e-01 6.63547889e-02
25 1 7.85398163e-01 6.67379849e-02
26 1 7.85398163e-01 6.68492781e-02
27 1 7.85398163e-01 6.61462793e-02
28 1 7.85398163e-01 6.71284491e-02
29 1 7.85398163e-01 6.70924283e-02
30 1 7.85398163e-01 6.64023404e-02
31 1 7.85398163e-01 6.66096766e-02
32 1 7.85398163e-01 6.62094132e-02
33 1 7.85398163e-01 6.64013007e-02
34 1 7.85398163e-01 6.71395606e-02
35 1 7.85398163e-01 6.70691668e-02
36 1 7.85398163e-01 6.63687915e-02
37 1 7.85398163e-01 6.66434217e-02
38 1 7.85398163e-01 6.61753703e-02
39 1 7.85398163e-01 6.61112751e-02
40 1 7.85398163e-01 6.59440289e-02
41 1 7.85398163e-01 6.66998835e-02
42 1 7.85398163e-01 6.72207400e-02
43 1 7.85398163e-01 6.70873789e-02
44 1 7.85398163e-01 6.64590308e-02
45 1 7.85398163e-01 6.67687245e-02
46 1 7.85398163e-01 6.66403695e-02
47 1 7.85398163e-01 6.66597869e-02
48 1 7.85398163e-01 6.66369446e-02
49 1 7.85398163e-01 6.69588919e-02
50 1 7.85398163e-01 6.70501968e-02
51 1 7.85398163e-01 6.68562943e-02
52 1 7.85398163e-01 6.64555226e-02
53 1 7.85398163e-01 6.65618415e-02
54 1 7.85398163e-01 6.65138783e-02
55 1 7.85398163e-01 6.71449201e-02
56 1 7.85398163e-01 6.72657562e-02
57 1 7.85398163e-01 6.65254178e-02
58 1 7.85398163e-01 6.68702681e-02
59 1 7.85398163e-01 6.70560293e-02
60 1 7.85398163e-01 6.61878648e-02
61 1 7.85398163e-01 6.64833094e-02
62 1 7.85398163e-01 6.67807756e-02
63 1 7.85398163e-01 6.67552549e-02
64 1 7.85398163e-01 6.69001691e-02
65 1 7.85398163e-01 6.66310981e-02
66 1 7.85398163e-01 6.75444109e-02
67 1 7.85398163e-01 6.63331719e-02
68 1 7.85398163e-01 6.66869637e-02
69 1 7.85398163e-01 6.69419946e-02
70 1 7.85398163e-01 6.65035863e-02
71 1 7.85398163e-01 6.64595012e-02
72 1 7.85398163e-01 6.60787259e-02
73 1 7.85398163e-01 6.73301235e-02
74 1 7.85398163e-01 6.71145474e-02
75 1 7.85398163e-01 6.69619541e-02
76 1 7.85398163e-01 6.65585072e-02
77 1 7.85398163e-01 6.62859699e-02
78 1 7.85398163e-01 6.67963500e-02
79 1 7.85398163e-01 6.68767140e-02
80 1 7.85398163e-01 6.67836226e-02
81 1 7.85398163e-01 6.66163832e-02
82 1 7.85398163e-01 6.66819962e-02
83 1 7.85398163e-01 6.67951236e-02
84 1 7.85398163e-01 6.64791563e-02
85 1 7.85398163e-01 6.75514139e-02
86 1 7.85398163e-01 6.68761060e-02
87 1 7.85398163e-01 6.68035093e-02
88 1 7.85398163e-01 6.66071104e-02
89 1 7.85398163e-01 6.65358287e-02
90 1 7.85398163e-01 6.69331004e-02
91 1 7.85398163e-01 6.67770488e-02
92 1 7.85398163e-01 6.67184174e-02
93 1 7.85398163e-01 6.68751792e-02
94 1 7.85398163e-01 6.72867200e-02
95 1 7.85398163e-01 6.71198908e-02
96 1 7.85398163e-01 6.69484070e-02
97 1 7.85398163e-01 6.69098623e-02
98 1 7.85398163e-01 6.70004192e-02
99 1 7.85398163e-01 6.72063034e-02
100 1 7.85398163e-01 6.67335770e-02
101 1 7.85398163e-01 6.71245731e-02
102 1 7.85398163e-01 6.69562309e-02
103 1 7.85398163e-01 6.70022432e-02
104 1 7.85398163e-01 6.66932670e-02
105 1 7.85398163e-01 6.71015824e-02
106 1 7.85398163e-01 6.63366778e-02
107 1 7.85398163e-01 6.70199586e-02
108 1 7.85398163e-01 6.69227949e-02
109 1 7.85398163e-01 6.71947275e-02
110 1 7.85398163e-01 6.69402346e-02
111 1 7.85398163e-01 6.62689849e-02
112 1 7.85398163e-01 6.65454607e-02
113 1 7.85398163e-01 6.67587026e-02
114 1 7.85398163e-01 6.68520684e-02
115 1 7.85398163e-01 6.61687149e-02
116 1 7.85398163e-01 6.66863492e-02
117 1 7.85398163e-01 6.70019596e-02
118 1 7.85398163e-01 6.63892057e-02
119 1 7.85398163e-01 6.66446760e-02
120 1 7.85398163e-01 6.56089087e-02
121 1 7.85398163e-01 6.67436563e-02
122 1 7.85398163e-01 6.57778845e-02
123 1 7.85398163e-01 6.71489995e-02
124 1 7.85398163e-01 6.67477415e-02
125 1 7.85398163e-01 6.64030121e-02
126 1 7.85398163e-01 6.71472241e-02
127 1 7.85398163e-01 6.68411366e-02
