a15m310 Wilson3 pz5 0.151fm zmax5
config z nu=p.z RpITD
0 1 1.96349541e+00 8.84095590e-03
1 1 1.96349541e+00 9.65700828e-03
2 1 1.96349541e+00 9.98588971e-03
3 1 1.96349541e+00 9.14321891e-03
4 1 1.96349541e+00 1.01540089e-02
5 1 1.96349541e+00 1.01034124e-02
6 1 1.96349541e+00 8.93147804e-03
7 1 1.96349541e+00 1.01043892e-02
8 1 1.96349541e+00 9.11601769e-03
9 1 1.96349541e+00 9.89827536e-03
10 1 1.96349541e+00 1.02923816e-02
11 1 1.96349541e+00 9.90701783e-03
12 1 1.96349541e+00 9.62389970e-03
13 1 1.96349541e+00 9.88981217e-03
14 1 1.96349541e+00 9.34194404e-03
15 1 1.96349541e+00 9.67514610e-03
16 1 1.96349541e+00 9.59230342e-03
17 1 1.96349541e+00 9.93281881e-03
18 1 1.96349541e+00 9.53783470e-03
19 1 1.96349541e+00 9.80290068e-03
20 1 1.96349541e+00 9.76173120e-03
21 1 1.96349541e+00 9.56537911e-03
22 1 1.96349541e+00 9.43652891e-03
23 1 1.96349541e+00 1.03045513e-02
24 1 1.96349541e+00 8.63948522e-03
25 1 1.96349541e+00 9.41123718e-03
26 1 1.96349541e+00 9.29755857e-03
27 1 1.96349541e+00 9.21953444e-03
28 1 1.96349541e+00 1.00261723e-02
29 1 1.96349541e+00 1.02778538e-02
30 1 1.96349541e+00 9.02305184e-03
31 1 1.96349541e+00 9.60472766e-03
32 1 1.96349541e+00 9.43495803e-03
33 1 1.96349541e+00 9.46732969e-03
34 1 1.96349541e+00 9.69625600e-03
35 1 1.96349541e+00 1.00730811e-02
36 1 1.96349541e+00 9.32996307e-03
37 1 1.96349541e+00 9.60402351e-03
38 1 1.96349541e+00 9.29994982e-03
39 1 1.96349541e+00 9.57463121e-03
40 1 1.96349541e+00 9.49838883e-03
41 1 1.96349541e+00 9.51943106e-03
42 1 1.96349541e+00 9.87230493e-03
43 1 1.96349541e+00 9.93730481e-03
44 1 1.96349541e+00 9.58661691e-03
45 1 1.96349541e+00 9.39950989e-03
46 1 1.96349541e+00 9.83043398e-03
47 1 1.96349541e+00 9.96443823e-03
48 1 1.96349541e+00 9.17391083e-03
49 1 1.96349541e+00 9.51864105e-03
50 1 1.96349541e+00 1.03322962e-02
51 1 1.96349541e+00 9.49286868e-03
52 1 1.96349541e+00 9.84830116e-03
53 1 1.96349541e+00 1.01177721e-02
54 1 1.96349541e+00 9.60174605e-03
55 1 1.96349541e+00 9.59110936e-03
56 1 1.96349541e+00 1.00833241e-02
57 1 1.96349541e+00 9.58856955e-03
58 1 1.96349541e+00 9.71697786e-03
59 1 1.96349541e+00 9.69044190e-03
60 1 1.96349541e+00 9.54923750e-03
61 1 1.96349541e+00 9.64003143e-03
62 1 1.96349541e+00 1.00908630e-02
63 1 1.96349541e+00 1.01616964e-02
64 1 1.96349541e+00 9.74665111e-03
65 1 1.96349541e+00 9.71830261e-03
